data_type,N,D,p,data_seed,train_seed,n_components,n_prototypes_kept,n_items_kept,n_items_dropped,rsa_optB_spearman,rsa_optB_pearson,trustworthiness,continuity,cka,mqe,condition_id
manifold,1000,784,10,8,8007,1,10,1000,0,0.6346032595364044,0.6563531311243346,0.820413948820873,0.9036442548921224,0.3997306768386403,41.926527230034964,manifold_N1000_D784_p10
manifold,1000,784,10,8,8008,1,10,1000,0,0.6539624564028854,0.6772691404525303,0.8179468138484697,0.9060933266432514,0.3875120211506981,41.829543412049766,manifold_N1000_D784_p10
manifold,1000,784,10,8,8009,1,10,1000,0,0.6486544178007986,0.671786221310439,0.8374586051179127,0.8977606623181134,0.3766091342623538,41.70311293615993,manifold_N1000_D784_p10
manifold,1000,10,15,9,9000,1,15,1000,0,0.782851131648061,0.7953737986793339,0.9017732062217763,0.9387616658304064,0.7310401497512319,3.5446376344594337,manifold_N1000_D10_p15
manifold,1000,10,15,9,9001,1,15,1000,0,0.7941672370115554,0.8064281690551569,0.8949653788258907,0.9285178123432012,0.7066761549656526,3.592790543881865,manifold_N1000_D10_p15
manifold,1000,10,15,9,9002,1,15,1000,0,0.801789089183799,0.8167364104135721,0.9025745107877572,0.934963873557451,0.7092913211481482,3.5530017098818796,manifold_N1000_D10_p15
manifold,1000,10,15,9,9003,1,15,1000,0,0.8024417574591456,0.8150537583742092,0.8940316106372304,0.9368941294530858,0.7015732415574527,3.5357232884573615,manifold_N1000_D10_p15
manifold,1000,10,15,9,9004,1,15,1000,0,0.8002812395193887,0.8142638377764013,0.9033376818866031,0.9397496236828902,0.7094228887566522,3.5262848122179666,manifold_N1000_D10_p15
manifold,1000,10,15,9,9005,1,15,1000,0,0.8038802948119692,0.8170443208573556,0.9060516808830908,0.9355504264927246,0.7013603151790071,3.5377175150810043,manifold_N1000_D10_p15
manifold,1000,10,15,9,9006,1,15,1000,0,0.8088392327076912,0.8190215056525251,0.9053226292022077,0.9410627195183141,0.6924092562317031,3.572439882053646,manifold_N1000_D10_p15
manifold,1000,10,15,9,9007,1,15,1000,0,0.8065291334195206,0.8191748858357838,0.906470647265429,0.9392022077270447,0.71773883674035,3.556404889735067,manifold_N1000_D10_p15
manifold,1000,10,15,9,9008,1,15,1000,0,0.8151727430375707,0.8256311429490985,0.900763171098846,0.9407616658304064,0.6978815896102841,3.5465339134973686,manifold_N1000_D10_p15
manifold,1000,10,15,9,9009,1,15,1000,0,0.7923980367458316,0.8040162854341593,0.8989553437029604,0.9348384345208229,0.6625626332368504,3.5338277151411286,manifold_N1000_D10_p15
manifold,1000,100,15,10,10000,1,15,1000,0,0.6991802835029789,0.7223229997800855,0.8626016056196688,0.9105012543903663,0.5009683649982614,14.052107073716332,manifold_N1000_D100_p15
manifold,1000,100,15,10,10001,1,15,1000,0,0.6822192038435781,0.7052288756588874,0.8601665830406422,0.9174786753637733,0.529015645209591,14.258007891987939,manifold_N1000_D100_p15
manifold,1000,100,15,10,10002,1,15,1000,0,0.7008920588599463,0.7241636518480545,0.8713115905669845,0.9222503763171099,0.5162827579869858,14.054910251489058,manifold_N1000_D100_p15
manifold,1000,100,15,10,10003,1,15,1000,0,0.6820789757298406,0.7041081591303257,0.8632854992473658,0.9137536377320622,0.5219859645567165,14.091550525720928,manifold_N1000_D100_p15
manifold,1000,100,15,10,10004,1,15,1000,0,0.6928244395888413,0.7178612438594775,0.8689257400903161,0.9123632714500752,0.5333944000832633,14.114245263133052,manifold_N1000_D100_p15
manifold,1000,100,15,10,10005,1,15,1000,0,0.7013508706050053,0.7220955600131629,0.8595323632714501,0.9207385850476668,0.5297362958859229,14.11311021603432,manifold_N1000_D100_p15
manifold,1000,100,15,10,10006,1,15,1000,0,0.6836394326889255,0.709803106872747,0.8619071751128952,0.9159683893627697,0.5210543245026326,14.104137445069208,manifold_N1000_D100_p15
manifold,1000,100,15,10,10007,1,15,1000,0,0.6682179104323784,0.6930971374200048,0.8669759157049675,0.9174264927245359,0.49729534878413295,14.0042783572723,manifold_N1000_D100_p15
manifold,1000,100,15,10,10008,1,15,1000,0,0.6602381898964013,0.6849777567426609,0.8704019066733568,0.9114390366281987,0.5122574873149,14.105390764386748,manifold_N1000_D100_p15
manifold,1000,100,15,10,10009,1,15,1000,0,0.6964920655559614,0.7194418181573499,0.866529352734571,0.9212659307576518,0.5179380608844912,14.159710226891503,manifold_N1000_D100_p15
